shop_id,book_id
1,28518072
1,29389443
1,29302272
1,29233018
1,27931206
1,28979183
1,25201859
1,23394853
1,29119834
1,29389876
1,26490676
1,29272806
1,29251809
1,29347383
1,26482259
1,29002852
1,29393537
1,28481444
1,25229707
1,29139774
1,25276520
1,25278339
1,28524228
1,29295726
1,20104118
1,24034746
1,25070228
1,20465714
1,29302061
1,25268456
1,22859328
1,28518073
1,25350593
1,29125207
1,23566280
1,29284247
1,25154520
1,29315225
1,27909224
1,29399828
1,28518072
1,29389443
1,29302272
1,29233018
1,27931206
1,28979183
1,25201859
1,23394853
1,29119834
1,29389876
1,26490676
1,29272806
1,29251809
1,29347383
1,26482259
1,29002852
1,29393537
1,28481444
1,25229707
1,29139774
1,25349758
1,25327429
1,25085193
1,23797275
1,29365663
1,29317782
1,29196710
1,24015725
1,23339272
1,29244500
1,27852773
1,24022654
1,29172010
1,29271963
1,29390884
1,29286747
1,29248231
1,29139019
1,27871839
1,27849854
1,25190150
1,29392467
1,29258217
1,29152634
1,29113213
1,28977141
1,25321348
1,25283252
1,25203298
1,25114331
1,23958931
1,22757209
1,28539879
1,29365612
1,29357897
1,29287506
1,29174563
1,29149226
1,29120932
1,28551825
1,29251079
1,28537239
1,23762423
1,21000646
1,29133280
1,28481138
1,23556612
1,28524140
1,27859241
1,29343796
1,23200886
1,29288001
1,29256092
1,29213735
1,28983463
1,27875034
1,29400446
1,29345387
1,29268836
1,29148343
1,29400444
1,29389960
1,29388087
1,29386362
1,29339980
1,29146201
1,28983536
1,28479587
1,27887470
1,25229317
1,24164419
1,23995186
1,23839363
1,23754178
1,23685108
1,23465354
1,23998793
1,28553957
1,29219299
1,29205081
1,25210870
1,23568568
1,28539922
1,29377292
1,29375813
1,29332505
1,29321076
1,29203076
1,28971004
1,28484067
1,25349498
1,25186557
1,23830934
1,23708799
1,23506327
1,28497129
1,26914724
1,25536731
1,25159650
1,24100031
1,24026269
1,23427909
1,24029099
1,26919013
1,25083820
1,29188793
1,29164972
1,27882245
1,25309094
1,25208817
1,27872570
1,25094344
1,29397124
1,29389062
1,29365606
1,29347249
1,29115593
1,28984274
1,26922275
1,25103409
1,23458812
1,/9335072
1,29340821
1,28983492
1,25338018
1,29347963
1,29219809
1,29160834
1,29160389
1,28968137
1,28523273
1,27864590
1,27863272
1,26909803
1,25234245
1,29378442
1,29372785
1,29372582
1,29372328
1,29371527
1,29361642
1,29360487
1,29339201
1,29321366
1,29313904
1,29304645
1,29301867
1,29276538
1,29271165
1,29269083
1,29200947
1,29178029
1,29152364
1,29148385
1,28517858
1,27896354
1,26917605
1,26772595
1,25578031
1,25326385
1,25305064
1,25259530
1,25201858
1,25171495
1,25122492
1,24184723
1,24135620
1,24059092
1,24039100
1,23953309
1,23797276
1,23679426
1,23389972
1,20929747
1,28556699
1,29390432
1,29389157
1,29382492
1,29307059
1,29297030
1,29294707
1,29194061
1,29158073
1,29155662
1,28553965
1,28534413
1,28491499
1,27896177
1,25575695
1,25320323
1,25230453
1,25073421
1,24001410
1,23737648
1,23575522
1,25204796
1,25149133
1,25124593
1,25073416
1,25070190
1,24176851
1,23723688
1,23562339
1,22916863
1,29153092
1,28978657
1,28539924
1,29295531
1,23715557
1,29392607
1,29380953
1,29367718
1,29364167
1,29354045
1,29352352
1,29389063
1,29381134
1,29350180
1,29347000
1,29291048
1,29263932
1,29245204
1,29222566
1,29165423
1,29120918
1,28997950
1,28984488
1,28554724
1,28552624
1,28521156
1,28491442
1,27908426
1,26916317
1,25350410
1,25340416
1,25257727
1,28544504
1,29386148
1,29380952
1,23271503
1,28486644
1,29335604
1,29373696
1,29372791
1,23720003
1,27872717
1,29387284
1,28547915
1,29304532
1,29215350
1,28503362
1,29390789
1,27951136
1,27879573
1,29255116
1,29351429
1,29306406
1,29299219
1,29288768
1,29278257
1,29243637
1,29236851
1,29178554
1,23797277
1,23795206
1,23520066
1,23201468
1,22568335
1,27928627
1,21049258
1,29389251
1,28553956
1,27883467
1,27856353
1,25066314
1,23922368
1,28994494
1,28981770
1,28524196
1,25580714
1,23982505
1,28988350
1,28983535
1,28983490
1,28550020
1,28531479
1,28529440
1,28523148
1,28522288
1,28504194
1,28491498
1,27908818
1,27858600
1,29352223
1,29265701
1,22499081
1,23730414
1,29397610
1,29391394
1,29388112
1,29388086
1,29385545
1,29377024
1,29344511
1,23769540
1,29384583
1,29343969
1,25190269
1,22885218
1,29118108
1,29340629
1,29331855
1,29206943
1,25174781
1,23762421
1,28976736
1,26916316
1,29325571
1,25175047
1,29398586
1,29199619
1,27942087
1,24242215
1,25180441
1,m/512019
1,28524518
1,25210003
1,25326386
1,23371280
1,23698722
1,29340488
1,29254130
1,28994839
1,25212290
1,23601263
1,28486788
1,28486787
1,28511830
1,25216404
1,25215612
1,20729049
1,25294968
1,23730156
1,28512259
1,25215611
1,25255968
1,23448834
1,23968664
1,28486789
1,29266966
1,24043445
1,29266968
1,23532951
1,23204520
1,23917920
1,28486788
1,28486787
1,28511830
1,25216404
1,25215612
1,20729049
1,25294968
1,23730156
1,28512259
1,25215611
1,25255968
1,23448834
1,23968664
1,28486789
1,29266966
1,24043445
1,29266968
1,23532951
1,23204520
1,23917920
1,29326861
1,29316908
1,29312765
1,29289346
1,29288770
1,29282490
1,29247159
1,29237948
1,29237169
1,29207942
1,29210199
1,25245770
1,25313269
1,20729050
1,24009045
1,29188815
1,29145337
1,29145297
1,29139792
1,29138630
1,29135360
1,29130984
1,29125178
1,29120487
1,29243062
1,24198303
1,23601586
1,23205701
1,23170580
1,26489019
1,25105727
1,24177534
1,23504413
1,27939588
1,29388614
1,28474010
1,25584935
1,25213488
1,27863820
1,28989473
1,23919425
1,23621002
1,23615510
1,23605572
1,23579910
1,25095897
1,25079815
1,24102538
1,25258851
1,29348956
1,25313271
1,25288124
1,28483125
1,29385203
1,25309679
1,29383114
1,29379173
1,29331854
1,29328630
1,29253801
1,29210103
1,28990251
1,28552639
1,28474631
1,27870568
1,25351631
1,25299285
1,24171127
1,23961818
1,23713254
1,22754692
1,27940966
1,29206052
1,25199725
1,23249670
1,28514989
1,27859046
1,23702214
1,29238410
1,25270371
1,26923998
1,24247773
1,23365969
1,20678938
1,27917042
1,23204517
1,28486790
1,/8904761
1,28983412
1,25299281
1,25064849
1,22924660
1,28973809
1,28547944
1,28546122
1,28524508
1,27951291
1,27871437
1,27859854
1,27857026
1,26922363
1,26484395
1,25329929
1,25329393
1,25249501
1,25249139
1,25232989
1,25176168
1,25069978
1,24163513
1,24014616
1,23942058
1,25168696
1,29272498
1,24195713
1,27940967
1,27909325
1,25478329
1,25179350
1,23308996
1,24224540
1,29373488
1,29354219
1,29200417
1,28481978
1,24043623
1,24011620
1,23381672
1,29293097
1,26482675
1,23957345
1,23475764
1,26910989
